Project Name,No of Backers,Project Link
WWCode Gujarat,1,https://opencollective.com/wwcodegujarat
WWCode Belo Horizonte,$344,https://opencollective.com/wwcodebelohorizonte
WWCode Charleston,12,https://opencollective.com/wwcodecharleston
Kingfisher,$288,https://opencollective.com/kingfisher
WhitestormJS Engine,11,https://opencollective.com/whitestormjs
Harissa,$383,https://opencollective.com/harissa
ioredis,12,https://opencollective.com/ioredis
OctoLinker,$12,https://opencollective.com/octolinker
En Marche.be,2,https://opencollective.com/enmarchebe
Beer Burger,$455,https://opencollective.com/brusselsbeerburger
Spina,19,https://opencollective.com/spina
iview,$392,https://opencollective.com/iview
redbaron,2,https://opencollective.com/redbaron
lint-staged,$362,https://opencollective.com/lint-staged
Operation Code: Boston,1,https://opencollective.com/operationcodeboston
peerjs,5,https://opencollective.com/peer
tntsearch,10,https://opencollective.com/tntsearch
CameraView,$107,https://opencollective.com/cameraview
Chimp.js,4,https://opencollective.com/chimp
Crystal Language,$211,https://opencollective.com/crystal-lang
Kendraio,1,https://opencollective.com/kendraio
Metapsychosis,$335,https://opencollective.com/metapsychosis
Kendraio DAW,1,https://opencollective.com/kendraio-daw
goreleaser,$335,https://opencollective.com/goreleaser
Muterra,37,https://opencollective.com/golix
GORM,€615,https://opencollective.com/gorm
http4k,13,https://opencollective.com/http4k
Burger Beweging,$452,https://opencollective.com/burgerbeweging
Fellows.chat,3,https://opencollective.com/fellows_chat
fela,$360,https://opencollective.com/fela
World Peace Now,15,https://opencollective.com/worldpeacenow
NoPlasticApp,$570,https://opencollective.com/noplasticapp
projectM,3,https://opencollective.com/projectm
perth indymedia,$336,https://opencollective.com/perthindymedia
git-point,3,https://opencollective.com/git-point
FKA,$330,https://opencollective.com/formerlyknownas
Taiga,6,https://opencollective.com/taiga
Hoa Project,4,https://opencollective.com/hoaproject
Bevry,$308,https://opencollective.com/bevry
Data Pioneers London,6,https://opencollective.com/datapioneerslondon
react-dropzone,$4,https://opencollective.com/react-dropzone
Blockchain Garage Brussels,12,https://opencollective.com/blockchain-garage-brussels
Heapclub,$347,https://opencollective.com/heapclub
GraphQL NYC,3,https://opencollective.com/graphqlnyc
Split.js,$190,https://opencollective.com/splitjs
SweetAlert,8,https://opencollective.com/sweetalert
redux-form,$302,https://opencollective.com/redux-form
Developing-iOS-10-Apps-with-Swift,9,https://opencollective.com/developing-ios-10-apps-with-swift
OWASP-Nettacker,$264,https://opencollective.com/owasp-nettacker
Crypto UI,3,https://opencollective.com/crypto-ui
MegaBoilerplate,$0,https://opencollective.com/megaboilerplate
Haxe,10,https://opencollective.com/haxe
